seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,RHOTA___5,RHOTA___10,RHOTA___15,RHOTA___20,RHOTA___25,RHOTA___30,RHOTA___35,RHOTA___40,RHOTA___45,RHOTA___50,RHOTA___55,RHOTA___60,RHOTA___65,RHOTA___70,RHOTA___75,RHOTA___80,RHOTA___85,RHOTA___90,RHOTA___95,RHOTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,Dets,GT_Dets,IDs,GT_IDs
office01,0.4989030528444453,0.7997269874041755,0.3989862354580344,0.4989030528444453,0.4989030528444453,0.4989030528444453,0.4989030528444453,0.4989030528444453,0.4989030528444453,0.4989030528444453,0.4989030528444453,0.4989030528444453,0.4989030528444453,0.4989030528444453,0.48456689353165877,0.4507470556325901,0.392453813088528,0.3353397511378225,0.24075447104775954,0.15984849856098138,0.054838101002603765,0.0,0.40034116659425484,0.4563106796116505,0.4563106796116505,0.4563106796116505,0.4563106796116505,0.4563106796116505,0.4563106796116505,0.4563106796116505,0.4563106796116505,0.4563106796116505,0.4563106796116505,0.4563106796116505,0.44694533762057875,0.4240506329113924,0.3761467889908257,0.3196480938416422,0.19363395225464192,0.10837438423645321,0.034482758620689655,0.0,0.36435260127391467,0.5454710294077288,0.5454710294077288,0.5454710294077288,0.5454710294077288,0.5454710294077288,0.5454710294077288,0.5454710294077288,0.5454710294077288,0.5454710294077288,0.5454710294077288,0.5454710294077288,0.5253552381975016,0.4791241714852087,0.40946779266931843,0.3518017183887456,0.29934169423584117,0.23577105117802788,0.0872093023255814,0.0,0.4414869627350127,0.47315436241610737,0.47315436241610737,0.47315436241610737,0.47315436241610737,0.47315436241610737,0.47315436241610737,0.47315436241610737,0.47315436241610737,0.47315436241610737,0.47315436241610737,0.47315436241610737,0.4664429530201342,0.44966442953020136,0.412751677852349,0.36577181208053694,0.24496644295302014,0.1476510067114094,0.050335570469798654,0.0,0.38643588837866477,0.9276315789473685,0.9276315789473685,0.9276315789473685,0.9276315789473685,0.9276315789473685,0.9276315789473685,0.9276315789473685,0.9276315789473685,0.9276315789473685,0.9276315789473685,0.9276315789473685,0.9144736842105263,0.881578947368421,0.8092105263157895,0.7171052631578947,0.48026315789473684,0.2894736842105263,0.09868421052631579,0.0,0.7576177285318559,0.5919474063476577,0.5919474063476577,0.5919474063476577,0.5919474063476577,0.5919474063476577,0.5919474063476577,0.5919474063476577,0.5919474063476577,0.5919474063476577,0.5919474063476577,0.5919474063476577,0.5773243845299203,0.5415498289442157,0.48410741531634427,0.43688725576694226,0.4119221713772614,0.35919978364969907,0.15463917525773196,0.0,0.4987921834034921,0.9315208825847123,0.9315208825847123,0.9315208825847123,0.9315208825847123,0.9315208825847123,0.9315208825847123,0.9315208825847123,0.9315208825847123,0.9315208825847123,0.9315208825847123,0.9315208825847123,0.9199840127897682,0.8925373134328358,0.8264737593612496,0.7277925750550788,0.5090047626061767,0.39325513196480943,0.16666666666666666,0.0,0.7727602068583379,0.7997269874041755,0.7997269874041755,0.7997269874041755,0.7997269874041755,0.7997269874041755,0.7997269874041755,0.7997269874041755,0.7997269874041755,0.7997269874041755,0.7997269874041755,0.7997269874041755,0.8027106020613282,0.8097558925460637,0.82114465790926,0.8329143355518781,0.8616378987426584,0.8868998865043494,0.9191363192888,1.0,0.8279577081079088,0.5080275554887468,0.5080275554887468,0.5080275554887468,0.5080275554887468,0.5080275554887468,0.5080275554887468,0.5080275554887468,0.5080275554887468,0.5080275554887468,0.5080275554887468,0.5080275554887468,0.4950234829676656,0.4641606373283141,0.41110645634769466,0.35871876453302276,0.2707926698869166,0.18657929429559714,0.06625503741476023,0.0,0.41268102385000976,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,139.0,134.0,123.0,109.0,73.0,44.0,15.0,0.0,115.15789473684211,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,159.0,164.0,175.0,189.0,225.0,254.0,283.0,298.0,182.8421052631579,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,18.0,29.0,43.0,79.0,108.0,137.0,152.0,36.8421052631579,152,298,2,2
office02,0.501641967198797,0.7951156614188803,0.39886338454473974,0.501641967198797,0.501641967198797,0.49698012964615634,0.4855417843841258,0.4855417843841258,0.4855417843841258,0.4855417843841258,0.4855417843841258,0.4842849759655582,0.4761484510614229,0.4726871826694011,0.46275647855483926,0.44859706279583683,0.40479037204794205,0.35175150085453083,0.250073599533952,0.13756118386080468,0.05182949100837159,0.006012914595265215,0.3933929578374897,0.7383627608346709,0.7383627608346709,0.7328,0.719047619047619,0.719047619047619,0.719047619047619,0.719047619047619,0.719047619047619,0.716323296354992,0.7028301886792453,0.6948356807511737,0.6790697674418604,0.6509146341463414,0.5741279069767442,0.48153214774281805,0.33210332103321033,0.1695464362850972,0.0576171875,0.0074418604651162795,0.5721634760149492,0.3408144026259003,0.3408144026259003,0.33704864801188644,0.32786538490339995,0.32786538490339995,0.32786538490339995,0.32786538490339995,0.32786538490339995,0.3274107363803132,0.3225777024095084,0.321562606598421,0.31534839086001515,0.3091639274833211,0.28539850321079846,0.25694882248962037,0.18830526894253405,0.11161000915033335,0.04662317365259926,0.004858347196837494,0.2709374666397362,0.8745247148288974,0.8745247148288974,0.870722433460076,0.8612167300380228,0.8612167300380228,0.8612167300380228,0.8612167300380228,0.8612167300380228,0.8593155893536122,0.8498098859315589,0.844106463878327,0.8326996197718631,0.811787072243346,0.7509505703422054,0.6692015209125475,0.5133079847908745,0.2984790874524715,0.11216730038022814,0.015209125475285171,0.7096257754652793,0.8258527827648114,0.8258527827648114,0.822262118491921,0.8132854578096947,0.8132854578096947,0.8132854578096947,0.8132854578096947,0.8132854578096947,0.8114901256732495,0.8025134649910234,0.7971274685816876,0.7863554757630161,0.7666068222621185,0.7091561938958707,0.6319569120287253,0.48473967684021546,0.28186714542190305,0.1059245960502693,0.01436265709156194,0.6701313427194556,0.4985084314045984,0.4985084314045984,0.4950708512547744,0.4865740510215937,0.4865740510215937,0.4865740510215937,0.4865740510215937,0.4865740510215937,0.4862881761926941,0.4821699102341985,0.4816226941226941,0.47616036380906607,0.4714855053324177,0.4473591415246979,0.40684230106516284,0.31206117144713635,0.19236127739731493,0.08045696869291874,0.008012218045112781,0.40893566826501854,0.520200618500516,0.520200618500516,0.5166855409645658,0.5079990570723966,0.5079990570723966,0.5079990570723966,0.5079990570723966,0.5079990570723966,0.5068523386378804,0.5001323393196455,0.49716974369864264,0.4892348355443442,0.4790398840643127,0.4504458269146841,0.42012147567927355,0.34240161137875774,0.23187828049014858,0.11207006111862097,0.014518116511981543,0.42847087245715115,0.7951156614188803,0.7951156614188803,0.7979538384880606,0.8048612593182456,0.8048612593182456,0.8048612593182456,0.8048612593182456,0.8048612593182456,0.8056717528518854,0.8092918246927276,0.8111639862389702,0.8143236230052411,0.81924513139091,0.8304363695311485,0.8429423896282077,0.8638416897675667,0.8927446163788342,0.9261371613828852,0.9633156782319469,0.8311371411061774,0.5459401233340488,0.5459401233340488,0.5417340851297234,0.5313785417940433,0.5313785417940433,0.5313785417940433,0.5313785417940433,0.5313785417940433,0.5304235570686402,0.5235739875974442,0.5209923941587734,0.5124358351684662,0.5009743302155704,0.4629472634771274,0.4146691968385669,0.3108996592574456,0.18251918716056537,0.07231594239011643,0.008595999774267182,0.4384660207302642,460.0,460.0,458.0,453.0,453.0,453.0,453.0,453.0,452.0,447.0,444.0,438.0,427.0,395.0,352.0,270.0,157.0,59.0,8.0,373.2631578947368,66.0,66.0,68.0,73.0,73.0,73.0,73.0,73.0,74.0,79.0,82.0,88.0,99.0,131.0,174.0,256.0,369.0,467.0,518.0,152.73684210526315,97.0,97.0,99.0,104.0,104.0,104.0,104.0,104.0,105.0,110.0,113.0,119.0,130.0,162.0,205.0,287.0,400.0,498.0,549.0,183.73684210526315,557,526,3,2
office03,0.6330479532296462,0.7999318140170528,0.5063951975867733,0.6330479532296462,0.6299603999746557,0.6299603999746557,0.6299603999746557,0.6299603999746557,0.6299603999746557,0.6299603999746557,0.6279782041495426,0.6249446850959065,0.6234406787357669,0.6122777836257011,0.604860036706384,0.5829077817057726,0.537080307869528,0.459450328105762,0.3128004414621416,0.1694157072550961,0.06751908642632728,0.0037680171426857385,0.5073291269135892,0.8834134615384616,0.8788968824940048,0.8788968824940048,0.8788968824940048,0.8788968824940048,0.8788968824940048,0.8788968824940048,0.8744019138755981,0.869928400954654,0.867699642431466,0.8500590318772137,0.8370457209847597,0.7970183486238532,0.7144420131291028,0.5654345654345654,0.3567099567099567,0.1711509715994021,0.056641942009440324,0.0025591810620601407,0.6905203392207664,0.45363776819784946,0.4515320436796921,0.4515320436796921,0.4515320436796921,0.4515320436796921,0.4515320436796921,0.4515320436796921,0.4510015573261772,0.44895172867218514,0.44794103961292453,0.4410094714172166,0.4370796658204402,0.42631575867709665,0.4037490122366332,0.3733316229690615,0.2742960053073831,0.16769803639750233,0.08048500581223095,0.005547850208044383,0.3747493044596262,0.9520725388601037,0.9494818652849741,0.9494818652849741,0.9494818652849741,0.9494818652849741,0.9494818652849741,0.9494818652849741,0.9468911917098446,0.944300518134715,0.9430051813471503,0.9326424870466321,0.9248704663212435,0.9002590673575129,0.8458549222797928,0.7331606217616581,0.533678756476684,0.2966321243523316,0.10880829015544041,0.0051813471502590676,0.7770657212980638,0.9245283018867925,0.9220125786163522,0.9220125786163522,0.9220125786163522,0.9220125786163522,0.9220125786163522,0.9220125786163522,0.919496855345912,0.9169811320754717,0.9157232704402516,0.9056603773584906,0.8981132075471698,0.8742138364779874,0.8213836477987422,0.7119496855345911,0.5182389937106918,0.2880503144654088,0.10566037735849057,0.005031446540880503,0.7545845746441576,0.6271737640016904,0.6240545372448864,0.6240545372448864,0.6240545372448864,0.6240545372448864,0.6240545372448864,0.6240545372448864,0.6232488902372978,0.6201627468685438,0.6186285788875431,0.607892586034463,0.601643927454411,0.589892664885356,0.5678027044451088,0.5407832874756698,0.45225147593731513,0.34110486728486344,0.19323587484278054,0.014814814814814815,0.5338401792967987,0.662011677712937,0.6609515473641334,0.6609515473641334,0.6609515473641334,0.6609515473641334,0.6609515473641334,0.6609515473641334,0.658720160417049,0.6576813607546468,0.6571688774167146,0.653506162867865,0.6512285497445518,0.6376992424382597,0.6091661490899052,0.5716751333772611,0.440459251552001,0.25676590435486657,0.12110624937372656,0.008791208791208791,0.5553520637934628,0.7999318140170528,0.8018731740924668,0.8018731740924668,0.8018731740924668,0.8018731740924668,0.8018731740924668,0.8018731740924668,0.8030218981330292,0.8040786987116313,0.8045053199419997,0.8075201199935619,0.8094545060310284,0.8144896125260666,0.8233420969098918,0.8379832672397061,0.8617799368267454,0.8909754540914039,0.9216379985548491,0.9587946285371574,0.828881810319417,0.6571879956990676,0.6547682697481074,0.6547682697481074,0.6547682697481074,0.6547682697481074,0.6547682697481074,0.6547682697481074,0.653490169841582,0.6511108584585427,0.6499313204431811,0.6413300010397717,0.6358003415749978,0.6195116038513351,0.5843912126015931,0.5231749657803649,0.38260417015365383,0.22303503040174147,0.09358117260207596,0.005361467883473232,0.539427364674738,735.0,733.0,733.0,733.0,733.0,733.0,733.0,731.0,729.0,728.0,720.0,714.0,695.0,653.0,566.0,412.0,229.0,84.0,4.0,599.8947368421053,37.0,39.0,39.0,39.0,39.0,39.0,39.0,41.0,43.0,44.0,52.0,58.0,77.0,119.0,206.0,360.0,543.0,688.0,768.0,172.10526315789474,60.0,62.0,62.0,62.0,62.0,62.0,62.0,64.0,66.0,67.0,75.0,81.0,100.0,142.0,229.0,383.0,566.0,711.0,791.0,195.10526315789474,795,772,3,2
office04,0.5590307037287336,0.8030056864283817,0.448904833982233,0.5590307037287336,0.5566420232751537,0.5542734603342994,0.5530966908695265,0.5519249124334706,0.5501765752928802,0.5492167729907166,0.5480600351785706,0.5417476407713958,0.5339163586212466,0.5203510391491422,0.5056006688836611,0.47717272522525467,0.4340130241890503,0.3722138335690548,0.302087360650804,0.2015034204129169,0.09456907582393888,0.01431411490435728,0.44315318085811445,0.8843098311817279,0.8805748265609514,0.8768545994065282,0.875,0.8731490621915103,0.8703794972893051,0.8685376661742984,0.8666994589276931,0.8539325842696629,0.8359941944847605,0.8054234062797336,0.7717086834733894,0.7102298332582244,0.6294547015886647,0.5198237885462555,0.41183035714285715,0.26626626626626626,0.1227810650887574,0.01879194630872483,0.6811443036020689,0.35340026390277735,0.3518728139049403,0.3503648940644091,0.34961822794379493,0.34887640857121005,0.34777274159571553,0.34729531657847906,0.34656742780428496,0.34369282972423987,0.34099121726444975,0.33617747116918517,0.33125458071176456,0.3205917282499055,0.2992547433362714,0.26651942629948344,0.22158826293932835,0.15249257447243095,0.07283948950702501,0.010903281763848693,0.28905651051597603,0.9393459915611815,0.9372362869198312,0.935126582278481,0.9340717299578059,0.9330168776371308,0.9314345991561181,0.930379746835443,0.929324894514768,0.9219409282700421,0.9113924050632911,0.8929324894514767,0.8718354430379747,0.8312236286919831,0.7732067510548524,0.6845991561181435,0.5838607594936709,0.4208860759493671,0.21888185654008438,0.03691983122362869,0.7693482123029092,0.9378620326487626,0.9357556608741443,0.933649289099526,0.932596103212217,0.9315429173249078,0.9299631384939442,0.9289099526066351,0.9278567667193259,0.9204844655081622,0.909952606635071,0.8915218536071616,0.8704581358609794,0.8299104791995787,0.7719852553975777,0.6835176408636124,0.5829383886255924,0.42022116903633494,0.21853607161664035,0.03686150605581885,0.7681328122834733,0.46171293905103566,0.4601287016457642,0.45855520347886713,0.4577725043495853,0.4569925173998982,0.4558276424691613,0.4554140519620151,0.4546417886861288,0.4518908494870328,0.44951606467509564,0.4440766969951303,0.4405827818165393,0.4302589240117773,0.4067180655206117,0.3705831552520885,0.3207871754592208,0.23508149300000564,0.12009088844643735,0.01830802532402451,0.3867862878437063,0.6146094906977839,0.6132383802971932,0.6118798642361611,0.611205355750836,0.6105340279483085,0.6095330236637562,0.6085483410266312,0.607885503951326,0.604581496231584,0.5969356629964838,0.5877835872790476,0.5699375216431614,0.543400254685489,0.5113815863683723,0.464936426965442,0.40169968935489553,0.296563932624882,0.1593202699803724,0.028658448731289518,0.5080333086543691,0.8030056864283817,0.8046481455440667,0.8061748151157173,0.8069067015892244,0.8075461307907467,0.8084487376772569,0.8090171865213792,0.8095145988160474,0.8126060398601174,0.8164877789245902,0.8225073722409189,0.8284450218403693,0.8383012394584135,0.850238508566314,0.8663914880887418,0.8821120147546406,0.9031884476936088,0.9295314893932743,0.9626882116802179,0.840408400788633,0.5761641444187043,0.5742716862011386,0.5723945544262392,0.571461724877741,0.5705327137039263,0.5691463468789285,0.5684333986628692,0.5675154079727454,0.5629071739423146,0.5574735918481755,0.547890304922986,0.537400673737203,0.5162203208752253,0.481025766287828,0.4271521676565836,0.3596897155808593,0.2533416690580491,0.1262665541334269,0.02006358199586909,0.47154481564109535,1781.0,1777.0,1773.0,1771.0,1769.0,1766.0,1764.0,1762.0,1748.0,1728.0,1693.0,1653.0,1576.0,1466.0,1298.0,1107.0,798.0,415.0,70.0,1458.6842105263158,115.0,119.0,123.0,125.0,127.0,130.0,132.0,134.0,148.0,168.0,203.0,243.0,320.0,430.0,598.0,789.0,1098.0,1481.0,1826.0,437.3157894736842,118.0,122.0,126.0,128.0,130.0,133.0,135.0,137.0,151.0,171.0,206.0,246.0,323.0,433.0,601.0,792.0,1101.0,1484.0,1829.0,440.3157894736842,1899,1896,3,2
COMBINED,0.5627664759054469,0.8009681489599472,0.45075802250269853,0.5627664759054469,0.5607721333005432,0.5587985701365338,0.556424234214059,0.5558016270349923,0.554872748960445,0.5543623863094672,0.5532961725845584,0.5490245526017739,0.5432328544423682,0.53282319968365,0.5205923258013316,0.4955518735401404,0.45083621120637524,0.387450931955918,0.2926351182764545,0.182133224485609,0.08057845618451827,0.010999432233030782,0.44752381730827456,0.8250397035468502,0.8221458773784355,0.8192612137203166,0.8159072952330787,0.8149513029744669,0.8135192004208311,0.812565720294427,0.8106617647058824,0.8026143790849674,0.7904440405089587,0.7693097254298178,0.7451278157428499,0.6970219049963081,0.6193048379520902,0.5087527352297593,0.36995827538247567,0.21669313569790014,0.09063587472318886,0.012035813885219434,0.639786874574096,0.3838677157493326,0.3824934164836699,0.38114320165196314,0.37946459141814237,0.3790600094597593,0.37845912841350726,0.3782065224747271,0.3776379594118288,0.3755576366613633,0.3733369081454396,0.36903285209673625,0.36371796080790775,0.3523155550906883,0.3281958687857743,0.295071091078683,0.2314728934232969,0.15308519743685955,0.07163706005938893,0.01005229148629617,0.3138846242176508,0.8926116838487973,0.8908934707903781,0.8891752577319587,0.8871706758304696,0.8865979381443299,0.8857388316151202,0.8851660939289805,0.884020618556701,0.8791523482245132,0.8717067583046965,0.8585337915234822,0.843069873997709,0.8109965635738832,0.7551546391752577,0.665807560137457,0.5332187857961054,0.3516609392898053,0.1640893470790378,0.023482245131729668,0.7293814432989691,0.91595650896268,0.9141933588010579,0.9124302086394358,0.9103732001175433,0.9097854833970026,0.9089039083161916,0.9083161915956509,0.9071407581545695,0.9021451660299735,0.8945048486629444,0.8809873640905084,0.8651190126359095,0.8322068762856303,0.7749044960329121,0.683220687628563,0.5471642668233911,0.3608580664119894,0.16838084043491036,0.024096385542168676,0.7484572436085806,0.5120506652974887,0.5104015240649823,0.5090684012039419,0.5074337348003288,0.5070201448606987,0.5064035634687495,0.5062002565089933,0.5055252348027941,0.5033455007506903,0.5013534491978985,0.4959338126894812,0.49139382858125635,0.4809164739383301,0.45630486273873294,0.42061482885246193,0.35218359082749634,0.25383840150993764,0.12763713957035472,0.017133155808559477,0.42972413523543046,0.6261901876825292,0.6251490887048229,0.6239378118244249,0.6224629394935056,0.6220866269240011,0.6215262920486077,0.620972104525114,0.6200475259233363,0.6178175468767794,0.612623971267286,0.6063141631670887,0.594173418321996,0.5733579821237227,0.5411654436877041,0.496459250672164,0.4058842913522069,0.28433674769977624,0.14904532390095326,0.02630977046891407,0.5205189729823649,0.8009681489599472,0.802361781008762,0.8036538959940307,0.8050898840605063,0.8054540690160733,0.8059673983326763,0.8062902003651392,0.806847225897076,0.8089686861724122,0.8117889966363685,0.8161566987035797,0.8205233216613806,0.8282337552249884,0.8392549115388769,0.8543561567832879,0.8741612014776924,0.8989920684235339,0.9277527003276411,0.9625594970441398,0.8357568735593743,0.5853587003967766,0.5837472803924711,0.5821538495635568,0.5802153548659036,0.5797187445822265,0.5789783642028921,0.578597952119965,0.5777886659235669,0.5746062809998566,0.5704737557109524,0.5628740300523158,0.55375053533972,0.5345341003829159,0.4978339410604018,0.4432387203507781,0.35131993279044343,0.23202173243472543,0.10841991704390364,0.01536393090380212,0.4784734625851145,3117.0,3111.0,3105.0,3098.0,3096.0,3093.0,3091.0,3087.0,3070.0,3044.0,2998.0,2944.0,2832.0,2637.0,2325.0,1862.0,1228.0,573.0,82.0,2547.0,375.0,381.0,387.0,394.0,396.0,399.0,401.0,405.0,422.0,448.0,494.0,548.0,660.0,855.0,1167.0,1630.0,2264.0,2919.0,3410.0,945.0,286.0,292.0,298.0,305.0,307.0,310.0,312.0,316.0,333.0,359.0,405.0,459.0,571.0,766.0,1078.0,1541.0,2175.0,2830.0,3321.0,856.0,3403,3492,11,8
