seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,RHOTA___5,RHOTA___10,RHOTA___15,RHOTA___20,RHOTA___25,RHOTA___30,RHOTA___35,RHOTA___40,RHOTA___45,RHOTA___50,RHOTA___55,RHOTA___60,RHOTA___65,RHOTA___70,RHOTA___75,RHOTA___80,RHOTA___85,RHOTA___90,RHOTA___95,RHOTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,Dets,GT_Dets,IDs,GT_IDs
office01,0.28819520885211747,0.7968516812486911,0.22964883670162747,0.28819520885211747,0.28819520885211747,0.28819520885211747,0.28819520885211747,0.28819520885211747,0.28819520885211747,0.28819520885211747,0.28819520885211747,0.28819520885211747,0.28819520885211747,0.28819520885211747,0.28819520885211747,0.2730359524563049,0.25828027631805467,0.21626361299795166,0.12384435115451749,0.040984524433023736,0.004378978809844386,0.0,0.23027001065237407,0.16611295681063123,0.16611295681063123,0.16611295681063123,0.16611295681063123,0.16611295681063123,0.16611295681063123,0.16611295681063123,0.16611295681063123,0.16611295681063123,0.16611295681063123,0.16611295681063123,0.16611295681063123,0.15841584158415842,0.15081967213114755,0.12861736334405144,0.07668711656441718,0.02631578947368421,0.002857142857142857,0.0,0.13352991619379875,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4705882352941176,0.44230769230769235,0.36363636363636365,0.2,0.06382978723404255,0.006711409395973154,0.0,0.39721439409832576,0.16778523489932887,0.16778523489932887,0.16778523489932887,0.16778523489932887,0.16778523489932887,0.16778523489932887,0.16778523489932887,0.16778523489932887,0.16778523489932887,0.16778523489932887,0.16778523489932887,0.16778523489932887,0.1610738255033557,0.15436241610738255,0.1342281879194631,0.08389261744966443,0.030201342281879196,0.003355704697986577,0.0,0.1358177322500883,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9056603773584906,0.8679245283018868,0.7547169811320755,0.4716981132075472,0.16981132075471697,0.018867924528301886,0.0,0.7636544190665342,0.5154639175257731,0.5154639175257731,0.5154639175257731,0.5154639175257731,0.5154639175257731,0.5154639175257731,0.5154639175257731,0.5154639175257731,0.5154639175257731,0.5154639175257731,0.5154639175257731,0.5154639175257731,0.4948453608247423,0.4742268041237114,0.41237113402061853,0.25773195876288657,0.09278350515463918,0.010309278350515464,0.0,0.41725447639717844,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9056603773584907,0.8679245283018868,0.7547169811320755,0.4716981132075472,0.16981132075471697,0.018867924528301886,0.0,0.7636544190665342,0.7968516812486911,0.7968516812486911,0.7968516812486911,0.7968516812486911,0.7968516812486911,0.7968516812486911,0.7968516812486911,0.7968516812486911,0.7968516812486911,0.7968516812486911,0.7968516812486911,0.7968516812486911,0.8039709666195761,0.8091708963560391,0.8207750062035337,0.8452814878832249,0.8820545370998771,0.9030126186453873,1.0,0.8224466151469438,0.28964222318174615,0.28964222318174615,0.28964222318174615,0.28964222318174615,0.28964222318174615,0.28964222318174615,0.28964222318174615,0.28964222318174615,0.28964222318174615,0.28964222318174615,0.28964222318174615,0.28964222318174615,0.2753169942006791,0.26129616156288277,0.22093041925577392,0.12953194003770996,0.04390609584140728,0.004745683095211729,0.0,0.23218073537761155,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,48.0,46.0,40.0,25.0,9.0,1.0,0.0,40.473684210526315,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,250.0,252.0,258.0,273.0,289.0,297.0,298.0,257.5263157894737,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,7.0,13.0,28.0,44.0,52.0,53.0,12.526315789473685,53,298,1,2
office02,0.37495295823788477,0.8321268788457941,0.3120084348524884,0.37495295823788477,0.37495295823788477,0.37495295823788477,0.37495295823788477,0.37495295823788477,0.37495295823788477,0.37495295823788477,0.37495295823788477,0.37495295823788477,0.37273486456530147,0.37273486456530147,0.36706224338848464,0.36148933712404613,0.3444755572629711,0.3075621818701372,0.23136882057665148,0.15085356122638707,0.07141176431232617,0.006783007404595744,0.3137396224440613,0.5955056179775281,0.5955056179775281,0.5955056179775281,0.5955056179775281,0.5955056179775281,0.5955056179775281,0.5955056179775281,0.5955056179775281,0.5955056179775281,0.5925233644859813,0.5925233644859813,0.5836431226765799,0.5748613678373382,0.5406871609403255,0.47660311958405543,0.3438485804416404,0.2050919377652051,0.08121827411167512,0.0070921985815602835,0.49250752908989975,0.23608462564772348,0.23608462564772348,0.23608462564772348,0.23608462564772348,0.23608462564772348,0.23608462564772348,0.23608462564772348,0.23608462564772348,0.23608462564772348,0.2344739255692265,0.2344739255692265,0.23085115764492448,0.22731487653447208,0.2194677775319527,0.19847645101289837,0.15568344375967655,0.11095900298497309,0.06278931851207792,0.006487295712562897,0.20030204240323696,0.6045627376425855,0.6045627376425855,0.6045627376425855,0.6045627376425855,0.6045627376425855,0.6045627376425855,0.6045627376425855,0.6045627376425855,0.6045627376425855,0.6026615969581749,0.6026615969581749,0.596958174904943,0.591254752851711,0.5684410646387833,0.5228136882129277,0.4144486692015209,0.27566539923954375,0.12167300380228137,0.011406844106463879,0.5131078647188313,0.9754601226993865,0.9754601226993865,0.9754601226993865,0.9754601226993865,0.9754601226993865,0.9754601226993865,0.9754601226993865,0.9754601226993865,0.9754601226993865,0.9723926380368099,0.9723926380368099,0.9631901840490797,0.9539877300613497,0.9171779141104295,0.843558282208589,0.6687116564417178,0.4447852760736196,0.19631901840490798,0.018404907975460124,0.8278979657733292,0.29893404895887515,0.29893404895887515,0.29893404895887515,0.29893404895887515,0.29893404895887515,0.29893404895887515,0.29893404895887515,0.29893404895887515,0.29893404895887515,0.29683870559679953,0.29683870559679953,0.29349408553230205,0.2901953436646278,0.2816751326476727,0.25718546365914785,0.20933857004897566,0.15083290121856363,0.08487772164786968,0.008928571428571428,0.2558216653511161,0.7019594914451883,0.7019594914451883,0.7019594914451883,0.7019594914451883,0.7019594914451883,0.7019594914451883,0.7019594914451883,0.7019594914451883,0.7019594914451883,0.70107018079441,0.70107018079441,0.6920820002543858,0.6832612206795383,0.6569430744570998,0.6076780477586929,0.47105590904606875,0.34465543725832937,0.21546778993855606,0.025921658986175114,0.6008863643670717,0.8321268788457941,0.8321268788457941,0.8321268788457941,0.8321268788457941,0.8321268788457941,0.8321268788457941,0.8321268788457941,0.8321268788457941,0.8321268788457941,0.8332509362796691,0.8332509362796691,0.8355878305334431,0.8375790451091539,0.8437620837371468,0.8539464058669807,0.8740944349458105,0.8990014968215768,0.9265902606827974,0.9582114397559751,0.8518114094539141,0.37779355155549266,0.37779355155549266,0.37779355155549266,0.37779355155549266,0.37779355155549266,0.37779355155549266,0.37779355155549266,0.37779355155549266,0.37779355155549266,0.37591013610782337,0.37591013610782337,0.37122565340020264,0.3666074210172327,0.35320602644090154,0.3221276228103791,0.2540133777636677,0.17489298973107623,0.08740574918197723,0.008602300324084045,0.3205285987834002,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,317.0,317.0,314.0,311.0,299.0,275.0,218.0,145.0,64.0,6.0,269.89473684210526,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,209.0,209.0,212.0,215.0,227.0,251.0,308.0,381.0,462.0,520.0,256.10526315789474,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,12.0,15.0,27.0,51.0,108.0,181.0,262.0,320.0,56.10526315789474,326,526,5,2
office03,0.3719696839694654,0.8078641048141044,0.3005009557579775,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.36915906373639523,0.3619929112459248,0.3393365604550232,0.29942896814839287,0.2027885032445804,0.09515167722978625,0.02559722232461556,0.0028995375026634206,0.3046326825027106,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.5971685971685972,0.5728770595690748,0.5264452644526445,0.4548651817116061,0.28734439834024894,0.12511332728921123,0.03158769742310889,0.0016142050040355124,0.48840306410553475,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2282076033215403,0.228738200637444,0.21872986431204505,0.19710830938749696,0.14311459449257333,0.07236512588872819,0.020742815848820106,0.005208333333333333,0.19049850308783461,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6075129533678757,0.6010362694300518,0.5854922279792746,0.5544041450777202,0.5025906735751295,0.3588082901554404,0.17875647668393782,0.04922279792746114,0.0025906735751295338,0.5008181074447778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9893390191897654,0.9637526652452025,0.9125799573560768,0.8272921108742004,0.5906183368869936,0.2942430703624733,0.08102345415778252,0.0042643923240938165,0.8243743687577151,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.2277506101315342,0.22830294403484402,0.22923252907739738,0.22203591311458903,0.20462715765422462,0.15873923746117283,0.08771099178166561,0.02675535674067861,0.007407407407407408,0.1931614867746766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.990906684815487,0.9718504348383249,0.9388222687272842,0.8679305871257758,0.6449492970828581,0.36886470851960507,0.12844763615896274,0.017241379310344827,0.8383691050830866,0.8078641048141044,0.8078641048141044,0.8078641048141044,0.8078641048141044,0.8078641048141044,0.8078641048141044,0.8078641048141044,0.8078641048141044,0.8078641048141044,0.8078641048141044,0.8078641048141044,0.8102700212019891,0.8149543031316946,0.8227230401093469,0.8322143083703216,0.85449814980024,0.885203824714746,0.9167826250632725,0.9527590665620801,0.8303110785215179,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.3719696839694654,0.37035259760929407,0.36595688095073087,0.3482308766133254,0.3147456083606523,0.22660693490308156,0.11373537241623059,0.03195339470186244,0.003673294371151458,0.30878534124160256,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,464.0,452.0,428.0,388.0,277.0,138.0,38.0,2.0,386.63157894736844,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,308.0,320.0,344.0,384.0,495.0,634.0,734.0,770.0,385.36842105263156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,41.0,81.0,192.0,331.0,431.0,467.0,82.36842105263158,469,772,10,2
office04,0.3373806325119578,0.7956934851995968,0.26845157132228414,0.3373806325119578,0.3373806325119578,0.3373806325119578,0.3373806325119578,0.3373806325119578,0.3373806325119578,0.3373806325119578,0.3373806325119578,0.337289388756501,0.3364793581168546,0.33138334060389474,0.32613870569783626,0.3128756616007009,0.2740365572747385,0.22968156753157265,0.15980759050715998,0.07147295153774033,0.019835697393495194,0.002553053022974936,0.26845257537574385,0.6163951655281135,0.6163951655281135,0.6163951655281135,0.6163951655281135,0.6163951655281135,0.6163951655281135,0.6163951655281135,0.6163951655281135,0.615546218487395,0.6138509968520461,0.6029181865554977,0.5904860392967942,0.5606291222729579,0.48240963855421687,0.3912256897331524,0.2611726117261173,0.12017479970866715,0.033254954652334565,0.0032615786040443573,0.48453111371937546,0.18466350412830615,0.18466350412830615,0.18466350412830615,0.18466350412830615,0.18466350412830615,0.18466350412830615,0.18466350412830615,0.18466350412830615,0.1848181799366601,0.18443947964463273,0.18213900472496133,0.18013373437402677,0.17460951586888,0.15566860344675965,0.13484191822817823,0.09778385955141973,0.04250793688776796,0.011831466775393443,0.0019984432477080398,0.14884632503751774,0.6186708860759493,0.6186708860759493,0.6186708860759493,0.6186708860759493,0.6186708860759493,0.6186708860759493,0.6186708860759493,0.6186708860759493,0.6181434599156118,0.6170886075949367,0.6102320675105485,0.6023206751054853,0.5828059071729957,0.5279535864978903,0.45622362869198313,0.3359704641350211,0.17405063291139242,0.05221518987341772,0.005274261603375527,0.5016655562958027,0.9940677966101695,0.9940677966101695,0.9940677966101695,0.9940677966101695,0.9940677966101695,0.9940677966101695,0.9940677966101695,0.9940677966101695,0.9932203389830508,0.9915254237288136,0.9805084745762712,0.9677966101694915,0.9364406779661016,0.8483050847457627,0.7330508474576272,0.5398305084745763,0.2796610169491525,0.08389830508474576,0.00847457627118644,0.8060660124888493,0.18509558929845754,0.18509558929845754,0.18509558929845754,0.18509558929845754,0.18509558929845754,0.18509558929845754,0.18509558929845754,0.18509558929845754,0.1852506348634326,0.18494945771352134,0.18310647602524047,0.18151708946646075,0.17702104738782595,0.16091374912156978,0.14270278612002438,0.10794113800651355,0.049528673966009636,0.014165530620033106,0.0023166920488992527,0.15106199945932583,0.992612349287541,0.992612349287541,0.992612349287541,0.992612349287541,0.992612349287541,0.992612349287541,0.992612349287541,0.992612349287541,0.9921794246708923,0.9904721517798443,0.9799076261416569,0.9682895425359025,0.9416429806728664,0.8681185801313327,0.7678217963990562,0.5810316249416804,0.3195432682864615,0.1253301966866057,0.017068360371879275,0.8153844393115004,0.7956934851995968,0.7956934851995968,0.7956934851995968,0.7956934851995968,0.7956934851995968,0.7956934851995968,0.7956934851995968,0.7956934851995968,0.7959939994206704,0.7965153315195688,0.7996148962300441,0.8024787888715262,0.8083675261186959,0.8218753927408118,0.8364007867785248,0.8582828945403738,0.8890444303209496,0.9230104479066567,0.9609635853818134,0.8241103137592848,0.33800286052776074,0.33800286052776074,0.33800286052776074,0.33800286052776074,0.33800286052776074,0.33800286052776074,0.33800286052776074,0.33800286052776074,0.3380002207119889,0.33736553125570057,0.333387254446877,0.3293907595811333,0.3190038515394449,0.286680654204002,0.24802836376883822,0.1812525549569004,0.08601472733825027,0.024855226495813752,0.0032465847421423643,0.2732236112243777,1173.0,1173.0,1173.0,1173.0,1173.0,1173.0,1173.0,1173.0,1172.0,1170.0,1157.0,1142.0,1105.0,1001.0,865.0,637.0,330.0,99.0,10.0,951.1578947368421,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,724.0,726.0,739.0,754.0,791.0,895.0,1031.0,1259.0,1566.0,1797.0,1886.0,944.8421052631579,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,10.0,23.0,38.0,75.0,179.0,315.0,543.0,850.0,1081.0,1170.0,228.8421052631579,1180,1896,19,2
COMBINED,0.3473547729697857,0.8043261964339996,0.2793865433559832,0.3473547729697857,0.3473547729697857,0.3473547729697857,0.3473547729697857,0.3473547729697857,0.3473547729697857,0.3473547729697857,0.3473547729697857,0.3473039154429156,0.34651589779953623,0.34379678418090454,0.33946449796612227,0.3287957475753505,0.2992282622639867,0.25759847468659725,0.17968703019840754,0.0911313695364236,0.03354668155567003,0.003549639508914006,0.2815503412880586,0.5726495726495726,0.5726495726495726,0.5726495726495726,0.5726495726495726,0.5726495726495726,0.5726495726495726,0.5726495726495726,0.5726495726495726,0.5722016519510111,0.5708594194649972,0.5650694641338248,0.5549295774647888,0.5316315205327414,0.4735718099305926,0.3967611336032389,0.26518450607380245,0.12699060841159657,0.03798420458819105,0.003271537622682661,0.456823790261792,0.2106966355473476,0.2106966355473476,0.2106966355473476,0.2106966355473476,0.2106966355473476,0.2106966355473476,0.2106966355473476,0.2106966355473476,0.2107998277717428,0.21033771771752474,0.20917114853181867,0.20765904370397947,0.20334882234842147,0.18906858698081705,0.16724665936462027,0.12175458249637569,0.06539795830150386,0.029627574293010273,0.0038513818566180244,0.17388612567080067,0.5756013745704467,0.5756013745704467,0.5756013745704467,0.5756013745704467,0.5756013745704467,0.5756013745704467,0.5756013745704467,0.5756013745704467,0.5753150057273768,0.5744558991981672,0.5707331042382588,0.5641466208476518,0.5486827033218786,0.5080183276059564,0.44902634593356244,0.3313287514318442,0.17812142038946163,0.05784650630011455,0.005154639175257732,0.4719810695122686,0.9911242603550295,0.9911242603550295,0.9911242603550295,0.9911242603550295,0.9911242603550295,0.9911242603550295,0.9911242603550295,0.9911242603550295,0.9906311637080868,0.9891518737672583,0.9827416173570019,0.9714003944773175,0.9447731755424064,0.8747534516765286,0.7731755424063116,0.5705128205128205,0.3067061143984221,0.09960552268244575,0.008875739644970414,0.8127011315270424,0.22127680887760756,0.22127680887760756,0.22127680887760756,0.22127680887760756,0.22127680887760756,0.22127680887760756,0.22127680887760756,0.22127680887760756,0.2213852681218733,0.22087585604535573,0.22004028824052527,0.21886061976461793,0.21567050610950844,0.20413829274807233,0.18498347897369302,0.14244458161334733,0.08224180305102334,0.03891868589773881,0.00508628688195755,0.18551895465624071,0.9471279678182141,0.9471279678182141,0.9471279678182141,0.9471279678182141,0.9471279678182141,0.9471279678182141,0.9471279678182141,0.9471279678182141,0.9468527701914436,0.9457933580334,0.9393688821266832,0.9289598572238673,0.9059278851435199,0.8495789950909253,0.7641728724929261,0.5732504247035728,0.33417355080303535,0.15394805013173485,0.02003868423647406,0.7862678459328049,0.8043261964339996,0.8043261964339996,0.8043261964339996,0.8043261964339996,0.8043261964339996,0.8043261964339996,0.8043261964339996,0.8043261964339996,0.8045058058806559,0.8049822202885345,0.8068368444350555,0.8094483398877876,0.8145527926948704,0.8254393763078567,0.8380434273422638,0.8600750348592496,0.8904123757067135,0.922874076225286,0.9591345903043413,0.8300481292318217,0.3482488665285527,0.3482488665285527,0.3482488665285527,0.3482488665285527,0.3482488665285527,0.3482488665285527,0.3482488665285527,0.3482488665285527,0.3482474753990763,0.3476057289037552,0.3455154105371377,0.34227203770400944,0.33402691742351,0.3099198402181054,0.27404042826577735,0.2008501774946431,0.10792950117199028,0.04139869156142173,0.004455612617474743,0.28643435544870127,2010.0,2010.0,2010.0,2010.0,2010.0,2010.0,2010.0,2010.0,2009.0,2006.0,1993.0,1970.0,1916.0,1774.0,1568.0,1157.0,622.0,202.0,18.0,1648.157894736842,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1483.0,1486.0,1499.0,1522.0,1576.0,1718.0,1924.0,2335.0,2870.0,3290.0,3474.0,1843.842105263158,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,22.0,35.0,58.0,112.0,254.0,460.0,871.0,1406.0,1826.0,2010.0,379.8421052631579,2028,3492,35,8
