seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,RHOTA___5,RHOTA___10,RHOTA___15,RHOTA___20,RHOTA___25,RHOTA___30,RHOTA___35,RHOTA___40,RHOTA___45,RHOTA___50,RHOTA___55,RHOTA___60,RHOTA___65,RHOTA___70,RHOTA___75,RHOTA___80,RHOTA___85,RHOTA___90,RHOTA___95,RHOTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,Dets,GT_Dets,IDs,GT_IDs
office01,1.0,0.978094137111748,0.978094137111748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92057632447374,0.9958198065512495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9163987138263665,0.9955999323066509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9247729797034092,0.9960406831422847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9563758389261745,0.9977039915224303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9563758389261745,0.9977039915224303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9588327129049994,0.9978333006792105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9588327129049994,0.9978333006792105,0.978094137111748,0.978094137111748,0.978094137111748,0.978094137111748,0.978094137111748,0.978094137111748,0.978094137111748,0.978094137111748,0.978094137111748,0.978094137111748,0.978094137111748,0.978094137111748,0.978094137111748,0.978094137111748,0.978094137111748,0.978094137111748,0.978094137111748,0.978094137111748,0.9799310935968341,0.9781908190320155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.940441669791437,0.9968653510416545,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,285.0,297.3157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.6842105263157895,298,298,2,2
office02,0.6259451122249611,0.971230754726602,0.6079371437636766,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.5541513030886324,0.6221664906914701,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.855379188712522,0.9923883783532906,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.39180728351831917,0.3590029670666149,0.39008074054717684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9220532319391636,0.9958975385231138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9220532319391636,0.9958975385231138,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.6062750745685506,0.5690580833527117,0.6043162855571906,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5410652150022142,0.5068655927529175,0.5392652348838303,0.971230754726602,0.971230754726602,0.971230754726602,0.971230754726602,0.971230754726602,0.971230754726602,0.971230754726602,0.971230754726602,0.971230754726602,0.971230754726602,0.971230754726602,0.971230754726602,0.971230754726602,0.971230754726602,0.971230754726602,0.971230754726602,0.971230754726602,0.971230754726602,0.9735899333749433,0.9713549220238832,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.6259451122249611,0.5753432419517251,0.6232818558947908,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,485.0,523.8421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.1578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.1578947368421053,526,526,2,2
office03,0.7190525839749593,0.9718185455334585,0.6987886363206199,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7171239356210362,0.6187189709464456,0.7136703596916731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974126778783958,0.833729216152019,0.9911127312647586,0.5170366185210659,0.5170366185210659,0.5170366185210659,0.5170366185210659,0.5170366185210659,0.5170366185210659,0.5170366185210659,0.5170366185210659,0.5170366185210659,0.5170366185210659,0.5170366185210659,0.5170366185210659,0.5170366185210659,0.5170366185210659,0.5170366185210659,0.5170366185210659,0.5170366185210659,0.5156007643040037,0.45915767085128495,0.513914786842811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987046632124352,0.9093264248704663,0.9951595309517318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987046632124352,0.9093264248704663,0.9951595309517318,0.6940734471440663,0.6940734471440663,0.6940734471440663,0.6940734471440663,0.6940734471440663,0.6940734471440663,0.6940734471440663,0.6940734471440663,0.6940734471440663,0.6940734471440663,0.6940734471440663,0.6940734471440663,0.6940734471440663,0.6940734471440663,0.6940734471440663,0.6940734471440663,0.6940734471440663,0.693364027676583,0.6473346878393359,0.6915761745771077,0.7110835773822934,0.7110835773822934,0.7110835773822934,0.7110835773822934,0.7110835773822934,0.7110835773822934,0.7110835773822934,0.7110835773822934,0.7110835773822934,0.7110835773822934,0.7110835773822934,0.7110835773822934,0.7110835773822934,0.7110835773822934,0.7110835773822934,0.7110835773822934,0.7110835773822934,0.7094159881547802,0.6518948886284448,0.7078806153832744,0.9718185455334585,0.9718185455334585,0.9718185455334585,0.9718185455334585,0.9718185455334585,0.9718185455334585,0.9718185455334585,0.9718185455334585,0.9718185455334585,0.9718185455334585,0.9718185455334585,0.9718185455334585,0.9718185455334585,0.9718185455334585,0.9718185455334585,0.9718185455334585,0.9718185455334585,0.9719249914947249,0.9750053053772895,0.9719918721547794,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7190525839749593,0.7175882438183503,0.6461611279603945,0.7151391210185816,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,771.0,702.0,768.2631578947369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,3.736842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,3.736842105263158,772,772,2,2
office04,0.6592875980407699,0.9761340417232651,0.6435530677335601,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6039790225624848,0.656376620384018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.896,0.9945263157894737,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.43466013693036776,0.40713243269590915,0.43321131039171196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9451476793248945,0.9971130357539417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9451476793248945,0.9971130357539417,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.5061526190458108,0.48059077758220786,0.504807258968779,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7677975800036285,0.7379351266611287,0.7662258719329706,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.9761340417232651,0.978205064631421,0.9762430429289577,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6592875980407699,0.6203227175756482,0.657236814858395,1896.0,1896.0,1896.0,1896.0,1896.0,1896.0,1896.0,1896.0,1896.0,1896.0,1896.0,1896.0,1896.0,1896.0,1896.0,1896.0,1896.0,1896.0,1792.0,1890.5263157894738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,5.473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,5.473684210526316,1896,1896,3,2
COMBINED,0.7033218758225569,0.9746086741422205,0.6854636008906416,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7028905270748295,0.6327926545891656,0.6995871089814454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994274262811337,0.8774193548387097,0.9935182516378865,0.49466166101056014,0.49466166101056014,0.49466166101056014,0.49466166101056014,0.49466166101056014,0.49466166101056014,0.49466166101056014,0.49466166101056014,0.49466166101056014,0.49466166101056014,0.49466166101056014,0.49466166101056014,0.49466166101056014,0.49466166101056014,0.49466166101056014,0.49466166101056014,0.49466166101056014,0.49433813807762816,0.45636848730742985,0.49262920329287263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997136311569301,0.9347079037800687,0.9965485018387894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997136311569301,0.9347079037800687,0.9965485018387894,0.6049228969441964,0.6049228969441964,0.6049228969441964,0.6049228969441964,0.6049228969441964,0.6049228969441964,0.6049228969441964,0.6049228969441964,0.6049228969441964,0.6049228969441964,0.6049228969441964,0.6049228969441964,0.6049228969441964,0.6049228969441964,0.6049228969441964,0.6049228969441964,0.6049228969441964,0.6047406818311545,0.5713566537667035,0.603146662297326,0.7409224045009092,0.7409224045009092,0.7409224045009092,0.7409224045009092,0.7409224045009092,0.7409224045009092,0.7409224045009092,0.7409224045009092,0.7409224045009092,0.7409224045009092,0.7409224045009092,0.7409224045009092,0.7409224045009092,0.7409224045009092,0.7409224045009092,0.7409224045009092,0.7409224045009092,0.7405626587354283,0.7043833009978556,0.7389803598025653,0.9746086741422205,0.9746086741422205,0.9746086741422205,0.9746086741422205,0.9746086741422205,0.9746086741422205,0.9746086741422205,0.9746086741422205,0.9746086741422205,0.9746086741422205,0.9746086741422205,0.9746086741422205,0.9746086741422205,0.9746086741422205,0.9746086741422205,0.9746086741422205,0.9746086741422205,0.9746329823532618,0.9769818258444574,0.9747348562429194,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7033218758225569,0.7029911628441295,0.6531242088013647,0.7006624874015244,3492.0,3492.0,3492.0,3492.0,3492.0,3492.0,3492.0,3492.0,3492.0,3492.0,3492.0,3492.0,3492.0,3492.0,3492.0,3492.0,3492.0,3491.0,3264.0,3479.9473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228.0,12.052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228.0,12.052631578947368,3492,3492,9,8
