seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,RHOTA___5,RHOTA___10,RHOTA___15,RHOTA___20,RHOTA___25,RHOTA___30,RHOTA___35,RHOTA___40,RHOTA___45,RHOTA___50,RHOTA___55,RHOTA___60,RHOTA___65,RHOTA___70,RHOTA___75,RHOTA___80,RHOTA___85,RHOTA___90,RHOTA___95,RHOTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,Dets,GT_Dets,IDs,GT_IDs
office01,0.005881742411367234,0.8712277703307878,0.005124337326715507,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.0,0.0,0.005262611631223315,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.0,0.0,0.003002472624514306,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.0,0.0,0.009224091155724362,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.0,0.0,0.003002472624514306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8947368421052632,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.0,0.0,0.009224091155724362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8947368421052632,0.8712277703307878,0.8712277703307878,0.8712277703307878,0.8712277703307878,0.8712277703307878,0.8712277703307878,0.8712277703307878,0.8712277703307878,0.8712277703307878,0.8712277703307878,0.8712277703307878,0.8712277703307878,0.8712277703307878,0.8712277703307878,0.8712277703307878,0.8712277703307878,0.8712277703307878,1.0,1.0,0.8847827418749153,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.005881742411367234,0.0,0.0,0.005262611631223315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8947368421052632,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,298.0,298.0,297.10526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.10526315789473684,1,298,1,2
office02,0.11293079608728623,0.7666904819268198,0.0865829664765409,0.11293079608728623,0.11293079608728623,0.11293079608728623,0.11293079608728623,0.11293079608728623,0.11293079608728623,0.11293079608728623,0.11293079608728623,0.11293079608728623,0.11293079608728623,0.11293079608728623,0.11293079608728623,0.10359462061742382,0.08779990643083763,0.05239610389570265,0.036722697109400376,0.022523509953075033,0.006731823066466635,0.002112159706669931,0.08773949335931636,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.11444652908067542,0.0959409594095941,0.058823529411764705,0.038461538461538464,0.022375215146299483,0.006779661016949152,0.0016863406408094434,0.09676388279829636,0.1020269176392658,0.1020269176392658,0.1020269176392658,0.1020269176392658,0.1020269176392658,0.1020269176392658,0.1020269176392658,0.1020269176392658,0.1020269176392658,0.1020269176392658,0.1020269176392658,0.1020269176392658,0.09377169851348574,0.08034966104886544,0.046670978958637525,0.035062468557707824,0.02267278760401869,0.006684322665236307,0.0026455026455026454,0.07958844377182335,0.12547528517110265,0.12547528517110265,0.12547528517110265,0.12547528517110265,0.12547528517110265,0.12547528517110265,0.12547528517110265,0.12547528517110265,0.12547528517110265,0.12547528517110265,0.12547528517110265,0.12547528517110265,0.11596958174904944,0.09885931558935361,0.06273764258555133,0.04182509505703422,0.024714828897338403,0.0076045627376425855,0.0019011406844106464,0.09785871522913749,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.8970588235294118,0.7647058823529411,0.4852941176470588,0.3235294117647059,0.19117647058823528,0.058823529411764705,0.014705882352941176,0.7569659442724458,0.10213364851522745,0.10213364851522745,0.10213364851522745,0.10213364851522745,0.10213364851522745,0.10213364851522745,0.10213364851522745,0.10213364851522745,0.10213364851522745,0.10213364851522745,0.10213364851522745,0.10213364851522745,0.0946485065121821,0.08224105937921727,0.04942944482418167,0.03775347459557986,0.02474214382109119,0.00744047619047619,0.002976190476190476,0.0802544777885078,0.9724517906336089,0.9724517906336089,0.9724517906336089,0.9724517906336089,0.9724517906336089,0.9724517906336089,0.9724517906336089,0.9724517906336089,0.9724517906336089,0.9724517906336089,0.9724517906336089,0.9724517906336089,0.9005995910303954,0.7768742885021955,0.48892732825079543,0.3642770196681402,0.2849514826259012,0.0636892177589852,0.023255813953488372,0.7669471699680637,0.7666904819268198,0.7666904819268198,0.7666904819268198,0.7666904819268198,0.7666904819268198,0.7666904819268198,0.7666904819268198,0.7666904819268198,0.7666904819268198,0.7666904819268198,0.7666904819268198,0.7666904819268198,0.7781154038560042,0.7950625850358192,0.8352446734334062,0.865863670399794,0.8933912521576701,0.9256790710520977,0.9541001198027304,0.8025127662557557,0.11314528972040984,0.11314528972040984,0.11314528972040984,0.11314528972040984,0.11314528972040984,0.11314528972040984,0.11314528972040984,0.11314528972040984,0.11314528972040984,0.11314528972040984,0.11314528972040984,0.11314528972040984,0.10428166021169255,0.08912526296806861,0.05411124834103153,0.03829479181769243,0.02367179896541488,0.007129610863605096,0.0022426485926424307,0.08824213149500346,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,61.0,52.0,33.0,22.0,13.0,4.0,1.0,51.473684210526315,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,465.0,474.0,493.0,504.0,513.0,522.0,525.0,474.5263157894737,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,16.0,35.0,46.0,55.0,64.0,67.0,16.526315789473685,68,526,3,2
office03,0.02703284756111101,0.8239124342663005,0.022272699239224796,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.026967618697853284,0.026967618697853284,0.026967618697853284,0.02573497213711724,0.02225527790422815,0.01465413749124593,0.0030095555511583097,0.0,0.023364111702606872,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.04139715394566624,0.04139715394566624,0.04139715394566624,0.037371134020618556,0.030729833546734954,0.0189873417721519,0.0024906600249066002,0.0,0.035998825530916906,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.01756769219418622,0.01756769219418622,0.01756769219418622,0.017721934542655297,0.016117802715760274,0.011309837268916552,0.0036365559831263803,0.0,0.015239049181851238,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.042746113989637305,0.04145077720207254,0.04145077720207254,0.04145077720207254,0.03756476683937824,0.031088082901554404,0.019430051813471502,0.0025906735751295338,0.0,0.03606490319061903,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.8787878787878788,0.7272727272727273,0.45454545454545453,0.06060606060606061,0.0,0.8437001594896332,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.017095702487468757,0.01756769219418622,0.01756769219418622,0.01756769219418622,0.017724758691924514,0.016160051153411046,0.011410161821848407,0.003703703703703704,0.0,0.015250235753452772,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9540229885057471,0.8680555555555557,0.586111111111111,0.1875,0.0,0.8734573502722324,0.8239124342663005,0.8239124342663005,0.8239124342663005,0.8239124342663005,0.8239124342663005,0.8239124342663005,0.8239124342663005,0.8239124342663005,0.8239124342663005,0.8239124342663005,0.8239124342663005,0.8322984194374407,0.8322984194374407,0.8322984194374407,0.8440854653281185,0.8571702098221774,0.8748010230370992,0.903743759292683,1.0,0.8441964469853529,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02703284756111101,0.02698507911968764,0.02698507911968764,0.02698507911968764,0.025801556911116224,0.02238462836453744,0.014823991504887597,0.0030693858489875,0.0,0.02338926964004278,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,29.0,24.0,15.0,2.0,0.0,27.842105263157894,739.0,739.0,739.0,739.0,739.0,739.0,739.0,739.0,739.0,739.0,739.0,740.0,740.0,740.0,743.0,748.0,757.0,770.0,772.0,744.1578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,9.0,18.0,31.0,33.0,5.157894736842105,33,772,7,2
office04,0.04445681440143619,0.7942397664547811,0.035309369887520224,0.04445681440143619,0.04445681440143619,0.04445681440143619,0.04445681440143619,0.04445681440143619,0.04445681440143619,0.04445681440143619,0.04445681440143619,0.04445681440143619,0.04445681440143619,0.04445681440143619,0.04417307051921692,0.042886724635321984,0.03866677337950359,0.03329880826800711,0.02388348892389413,0.014825720488838212,0.006373682269861764,0.0020349428771062683,0.03658779840934463,0.1117554032683184,0.1117554032683184,0.1117554032683184,0.1117554032683184,0.1117554032683184,0.1117554032683184,0.1117554032683184,0.1117554032683184,0.1117554032683184,0.1117554032683184,0.1117554032683184,0.11058451816745656,0.10766806722689076,0.09615384615384616,0.07822085889570553,0.05187032418952618,0.025279533300923675,0.0071633237822349575,0.0014245014245014246,0.08987760047855725,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.017644966867251217,0.01708279155852223,0.01554924138125163,0.014175382982535548,0.010997059534340733,0.008694859410443543,0.005671086064530169,0.0029069767441860465,0.015118881393796755,0.11181434599156118,0.11181434599156118,0.11181434599156118,0.11181434599156118,0.11181434599156118,0.11181434599156118,0.11181434599156118,0.11181434599156118,0.11181434599156118,0.11181434599156118,0.11181434599156118,0.11075949367088607,0.10812236286919831,0.09757383966244726,0.08069620253164557,0.05485232067510549,0.027426160337552744,0.007911392405063292,0.0015822784810126582,0.09046746613368865,0.9953051643192489,0.9953051643192489,0.9953051643192489,0.9953051643192489,0.9953051643192489,0.9953051643192489,0.9953051643192489,0.9953051643192489,0.9953051643192489,0.9953051643192489,0.9953051643192489,0.9859154929577465,0.9624413145539906,0.8685446009389671,0.7183098591549296,0.48826291079812206,0.24413145539906103,0.07042253521126761,0.014084507042253521,0.8052878675562145,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.0176851256308252,0.017645900483451587,0.017093819713648737,0.015589201437647719,0.01423881429259119,0.0110847399851772,0.008791615208161668,0.00576644100130021,0.002973240832507433,0.01514316604702963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9920634920634921,0.9740462789243277,0.8902039402039402,0.8006009241303358,0.6391931786162556,0.43153502480425554,0.24123765123765126,0.11538461538461538,0.8465402687034145,0.7942397664547811,0.7942397664547811,0.7942397664547811,0.7942397664547811,0.7942397664547811,0.7942397664547811,0.7942397664547811,0.7942397664547811,0.7942397664547811,0.7942397664547811,0.7942397664547811,0.796301554895395,0.8002989688945208,0.8138223181641026,0.8314145628515499,0.8575872537319861,0.8922797820834613,0.9279370533206676,0.9684164855417664,0.8223523900255811,0.04446853669943858,0.04446853669943858,0.04446853669943858,0.04446853669943858,0.04446853669943858,0.04446853669943858,0.04446853669943858,0.04446853669943858,0.04446853669943858,0.04446853669943858,0.04446853669943858,0.04420800375561314,0.042977107716892934,0.03895124112794015,0.033821584470901576,0.024560420111652898,0.015442364077540198,0.006698222691086364,0.0021446787048716226,0.036734606650017015,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,210.0,205.0,185.0,153.0,104.0,52.0,15.0,3.0,171.52631578947367,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1686.0,1691.0,1711.0,1743.0,1792.0,1844.0,1881.0,1893.0,1724.4736842105262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,28.0,60.0,109.0,161.0,198.0,210.0,41.473684210526315,213,1896,21,2
COMBINED,0.05624769118355214,0.7917972448612256,0.044536766908941636,0.05624769118355214,0.05624769118355214,0.05624769118355214,0.05624769118355214,0.05624769118355214,0.05624769118355214,0.05624769118355214,0.05624769118355214,0.05624769118355214,0.05624769118355214,0.05624769118355214,0.05610701771679067,0.05283987910873582,0.046437299708869284,0.03433426721706631,0.025148383733806904,0.015771752996642754,0.005608194649380807,0.0017288166364349026,0.045089484988779,0.08927038626609442,0.08927038626609442,0.08927038626609442,0.08927038626609442,0.08927038626609442,0.08927038626609442,0.08927038626609442,0.08927038626609442,0.08927038626609442,0.08927038626609442,0.08927038626609442,0.08833619210977701,0.08523375142531357,0.07633587786259542,0.06015037593984962,0.0413019693654267,0.021739130434782608,0.005546751188589541,0.001051801209571391,0.07166684728752341,0.035440675187062405,0.035440675187062405,0.035440675187062405,0.035440675187062405,0.035440675187062405,0.035440675187062405,0.035440675187062405,0.035440675187062405,0.035440675187062405,0.035440675187062405,0.035440675187062405,0.03563655351093454,0.03275759634576643,0.028249138735692698,0.019598246676159704,0.015312616181256759,0.011442416859007048,0.0056703187426262154,0.002841608219515196,0.028492416964665528,0.08934707903780069,0.08934707903780069,0.08934707903780069,0.08934707903780069,0.08934707903780069,0.08934707903780069,0.08934707903780069,0.08934707903780069,0.08934707903780069,0.08934707903780069,0.08934707903780069,0.08848797250859107,0.08562428407789233,0.07731958762886598,0.061855670103092786,0.04324169530355097,0.023195876288659795,0.006013745704467354,0.001145475372279496,0.07208958823174776,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9809523809523809,0.9492063492063492,0.8571428571428571,0.6857142857142857,0.4793650793650794,0.2571428571428571,0.06666666666666667,0.012698412698412698,0.7991645781119465,0.03546325287236198,0.03546325287236198,0.03546325287236198,0.03546325287236198,0.03546325287236198,0.03546325287236198,0.03546325287236198,0.03546325287236198,0.03546325287236198,0.03546325287236198,0.03546325287236198,0.03565998489350913,0.032944038017075496,0.028640788082402224,0.020064988640651732,0.01577178745426203,0.011855229212059677,0.005888853675657872,0.002973978243428194,0.028626075253422534,0.9941724941724942,0.9941724941724942,0.9941724941724942,0.9941724941724942,0.9941724941724942,0.9941724941724942,0.9941724941724942,0.9941724941724942,0.9941724941724942,0.9941724941724942,0.9941724941724942,0.9887221731881926,0.961926629539603,0.8817970071846041,0.7745056013466866,0.6379040949809471,0.4436525584027737,0.20230103045717668,0.09235241502683363,0.8378452076854871,0.7917972448612256,0.7917972448612256,0.7917972448612256,0.7917972448612256,0.7917972448612256,0.7917972448612256,0.7917972448612256,0.7917972448612256,0.7917972448612256,0.7917972448612256,0.7917972448612256,0.7939471699920128,0.7994351352873642,0.812611705461298,0.8338852250205359,0.8588171386952652,0.8889614575589748,0.9252028382192272,0.9648373941070074,0.8203930398850089,0.05627184737585471,0.05627184737585471,0.05627184737585471,0.05627184737585471,0.05627184737585471,0.05627184737585471,0.05627184737585471,0.05627184737585471,0.05627184737585471,0.05627184737585471,0.05627184737585471,0.05615519893452885,0.05296079432201553,0.046735551327810224,0.03481756282394805,0.025732148826130497,0.016291620112953858,0.005839508111256387,0.0018041597027762385,0.045227729752411655,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,309.0,299.0,270.0,216.0,151.0,81.0,21.0,4.0,251.73684210526315,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0,3183.0,3193.0,3222.0,3276.0,3341.0,3411.0,3471.0,3488.0,3240.2631578947367,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,16.0,45.0,99.0,164.0,234.0,294.0,311.0,63.26315789473684,315,3492,32,8
